                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5048,                 2.6248,                 1.6391,                0.00333,                      1,                0.96101,                  0.684,                0.83984,                 2.6275,                 1.2481,                0.00024,                0.00024,                0.00024
                      2,                 1.0298,                 1.2696,                  1.261,                0.00333,                      1,                0.98128,                0.76831,                0.82583,                 2.2894,                 1.1522,             0.00049381,             0.00049381,             0.00049381
                      3,                0.95658,                 1.0403,                 1.1721,                0.87649,                0.78061,                0.93485,                0.69968,                0.83272,                 2.0466,                 1.1333,             0.00074119,             0.00074119,             0.00074119
                      4,                0.94027,                0.98886,                 1.1643,                0.94902,                   0.93,                0.98566,                0.72136,                0.96178,                 1.4803,                 1.2826,             0.00098213,             0.00098213,             0.00098213
                      5,                0.99672,                 1.0278,                 1.2069,                0.90964,                0.90608,                0.95864,                0.68328,                 1.0433,                 1.5316,                 1.3726,              0.0012166,              0.0012166,              0.0012166
                      6,                  1.032,                 1.0262,                 1.2444,                0.83373,                0.50143,                0.77163,                0.39692,                 1.2078,                 2.3618,                 1.5485,              0.0014447,              0.0014447,              0.0014447
                      7,                 0.9873,                0.99313,                 1.2223,                 0.9111,                 0.9224,                0.96446,                0.61012,                 1.0741,                 1.6384,                 1.3135,              0.0016664,              0.0016664,              0.0016664
                      8,                 1.1051,                0.99193,                 1.2571,                0.76261,                0.96379,                0.86688,                0.59967,                 1.0731,                 1.3877,                 1.3335,              0.0018267,              0.0018267,              0.0018267
                      9,                0.97207,                0.89881,                 1.1842,                0.96061,                0.97556,                0.99323,                0.75905,                0.89127,                 1.2349,                 1.1881,               0.001802,               0.001802,               0.001802
                     10,                 1.0604,                0.92549,                 1.2049,                0.99846,                      1,                  0.995,                0.76451,                0.89224,                0.97896,                 1.1576,              0.0017772,              0.0017772,              0.0017772
                     11,                0.96349,                0.88101,                 1.1788,                0.99904,                      1,                  0.995,                0.77066,                0.87917,                0.75086,                 1.1624,              0.0017525,              0.0017525,              0.0017525
                     12,                0.95609,                0.83814,                 1.1601,                0.99922,                      1,                  0.995,                0.77433,                0.82469,                0.70375,                 1.1208,              0.0017278,              0.0017278,              0.0017278
                     13,                0.98781,                0.81728,                 1.2146,                0.98998,                      1,                  0.995,                0.76355,                0.85751,                0.73304,                 1.1567,               0.001703,               0.001703,               0.001703
                     14,                0.93434,                0.76924,                 1.1369,                0.99936,                      1,                  0.995,                0.75856,                0.87567,                0.65649,                 1.1576,              0.0016783,              0.0016783,              0.0016783
                     15,                0.97554,                0.81392,                 1.1941,                0.99921,                      1,                  0.995,                0.70443,                 1.0334,                0.71651,                 1.2975,              0.0016535,              0.0016535,              0.0016535
                     16,                 0.9068,                0.73601,                 1.0943,                0.99917,                      1,                  0.995,                 0.7261,                0.89577,                0.71531,                 1.1826,              0.0016287,              0.0016287,              0.0016287
                     17,                0.95364,                0.75886,                 1.1555,                0.99916,                      1,                  0.995,                0.79307,                0.85762,                0.70851,                 1.1562,               0.001604,               0.001604,               0.001604
                     18,                0.92496,                0.72805,                 1.1619,                0.99918,                      1,                  0.995,                 0.7826,                0.85193,                0.63794,                 1.1207,              0.0015793,              0.0015793,              0.0015793
                     19,                0.96608,                0.74095,                 1.1562,                0.99915,                      1,                  0.995,                0.75558,                0.88036,                0.61002,                 1.1406,              0.0015545,              0.0015545,              0.0015545
                     20,                 0.9283,                0.70383,                 1.1438,                0.99871,                      1,                  0.995,                0.77584,                0.80859,                0.61661,                 1.1199,              0.0015298,              0.0015298,              0.0015298
                     21,                0.94356,                 0.6664,                 1.1511,                0.99831,                      1,                  0.995,                0.78508,                 0.8141,                 0.6221,                 1.0918,               0.001505,               0.001505,               0.001505
                     22,                0.96996,                0.70146,                 1.1787,                0.99875,                      1,                  0.995,                0.77865,                0.82503,                0.55905,                 1.1256,              0.0014803,              0.0014803,              0.0014803
                     23,                0.89143,                0.65665,                 1.1344,                0.98915,                      1,                0.99351,                0.77808,                  0.813,                0.50717,                  1.102,              0.0014555,              0.0014555,              0.0014555
